3,1012,-94,4083192
2,1011,-95,4094456
2,996,-76,4105720
0,999,-71,4129272
2,1013,-77,4140536
5,996,-72,4151800
3,1012,-71,4164088
4,1008,-95,4179448
3,1000,-66,4190712
4,993,-85,4209144
15,1010,-70,4221432
3,1004,-67,4232696
2,1002,-70,4253176
-1,1003,-70,4264440
7,1001,-73,4275704
3,990,-78,4286968
3,1014,-70,4300280
3,1014,-59,4312568
5,1004,-67,4326904
4,1009,-64,4338168
13,998,-60,4350456
6,993,-58,4361720
3,1015,-57,4372984
4,1000,-59,4384248
5,997,-54,4402680
-2,1011,-51,4413944
-7,1014,-53,4432376
1,1008,-44,4444664
5,1000,-37,4455928
3,1000,-44,4467192
-4,1001,-34,4481528
4,1016,-33,4492792
-7,1019,-26,4507128
-4,1000,-20,4518392
3,996,-5,4530680
-5,1007,9,4541944
-2,1016,33,4553208
-9,1012,59,4564472
-8,991,80,4575736
-11,1019,71,4587000
-6,1009,66,4598264
-2,1005,46,4611576
2,1005,-24,4628984
0,1006,4,4651512
-1,1008,11,4674040
