3,1008,-63,9170424
2,1015,-63,9200120
0,1009,-46,9215480
-2,1008,-16,9226744
-5,1021,23,9242104
1,993,17,9253368
-1,997,-9,9264632
0,1010,-28,9277944
-1,1008,-26,9289208
3,1015,-30,9300472
16,1010,-48,9320952
6,1015,-45,9333240
2,986,-47,9350648
1,1014,-45,9361912
-5,1020,-59,9376248
7,1009,-53,9391608
-2,1005,-65,9402872
5,993,-65,9430520
4,1007,-70,9442808
8,1002,-67,9454072
6,1001,-73,9468408
0,1018,-73,9479672
2,994,-65,9501176
3,1010,-76,9552376
7,1001,-76,9571832
7,996,-78,9586168
16,1004,-93,9615864
8,995,-86,9635320
6,1005,-86,9661944
2,999,-95,9681400
2,999,-102,9693688
5,1007,-91,9718264
7,996,-87,9731576
5,1004,-126,9798136
4,940,-114,9809400
2,1002,-124,9825784
4,999,-122,9844216
