11,964,54,9522984
11,964,54,9525632
10,937,50,9528304
10,980,51,9530976
10,995,53,9533640
10,995,53,9536312
10,995,53,9538984
10,995,53,9541648
10,995,53,9544320
9,915,46,9546984
9,971,51,9549656
9,995,52,9552328
9,995,52,9555000
9,995,52,9557664
9,995,52,9560336
-26,789,-91,9563000
-6,899,-28,9565672
8,979,-16,9568344
10,982,-14,9571008
7,889,5,9573680
11,949,-4,9576344
26,1003,-8,9579016
13,996,-17,9581688
13,996,-17,9584352
12,929,-36,9587024
5,968,-27,9589696
10,992,-23,9592360
10,992,-23,9595032
17,920,-15,9597704
20,973,-16,9600376
15,990,-21,9603040
15,990,-21,9605712
37,921,-70,9608376
22,964,-49,9611048
22,992,-37,9613720
22,992,-37,9616384
31,974,-11,9619056
21,991,-21,9621728
16,1009,-24,9624392
20,1012,-23,9627064
20,1012,-23,9629728
27,969,-19,9632400
19,991,-21,9635072
16,998,-25,9637744
16,998,-25,9640408
-27,969,164,9643080
-8,984,69,9645752
1,993,32,9648416
1,993,32,9651088
13,936,-59,9653752
14,982,-48,9656424
14,1001,-43,9659096
14,1001,-43,9661760
3,957,-51,9664432
7,989,-37,9667104
11,998,-52,9669776
10,1003,-41,9672440
10,1003,-41,9675112
7,938,-58,9677776
11,980,-51,9680448
11,993,-53,9683120
11,993,-53,9685784
-2,926,-76,9688456
5,974,-57,9691128
9,1000,-58,9693792
10,1011,-52,9696464
10,1011,-52,9699128
41,1060,76,9701800
28,1023,-7,9704472
24,1026,-14,9707136
24,1026,-14,9709808
10,961,-25,9712480
11,991,-45,9715144
11,983,-48,9717816
11,983,-48,9720488
20,935,-108,9723152
17,973,-86,9725824
18,985,-82,9728496
18,985,-82,9731160
22,890,-91,9733832
17,965,-80,9736504
14,977,-85,9739176
15,982,-87,9741840
15,982,-87,9744512
18,934,57,9747184
16,935,89,9749848
14,951,95,9752520
14,951,95,9755192
9,931,92,9757856
9,971,101,9760528
9,983,101,9763192
9,983,101,9765864
9,983,101,9768536
9,983,101,9771200
9,983,101,9773872
9,983,101,9776536
12,898,98,9779208
12,956,102,9781880
12,982,104,9784544
12,984,104,9787216
